__name__,container,cpu,endpoint,id,image,instance,job,metrics_path,name,namespace,node,pod,service,value
container_cpu_usage_seconds_total,alertmanager,total,https-metrics,/kubepods/burstable/poda6a84786-e6c1-4664-bc88-d47352abaf94/921e619fb6c7fa2aa3b7d1071f553b59abef89d33b288fc74edf1ed7f8fbc263,quay.io/prometheus/alertmanager:v0.25.0,10.0.1.100:10250,kubelet,/metrics/cadvisor,921e619fb6c7fa2aa3b7d1071f553b59abef89d33b288fc74edf1ed7f8fbc263,monitoring,worker-nbg1-1,alertmanager-kube-prometheus-stack-alertmanager-0,kube-prometheus-stack-kubelet,1414.025198
container_cpu_usage_seconds_total,cer-plus-affiliazione-frontend,total,https-metrics,/kubepods/besteffort/pod28c4cdec-b506-436a-acb7-cc7b4d5e4782/4854174cf15e62081f6fb3d82a642d8559bb9f4c508eb1bf56401ae989d9d20a,registry.vivieb.it/cer-plus/cer-plus-affiliazione-frontend:0.67.0-rc.21,10.0.1.100:10250,kubelet,/metrics/cadvisor,4854174cf15e62081f6fb3d82a642d8559bb9f4c508eb1bf56401ae989d9d20a,apps,worker-nbg1-1,cer-plus-affiliazione-frontend-app-585cc59fd-2vhcc,kube-prometheus-stack-kubelet,3695.098036
container_cpu_usage_seconds_total,cer-plus-affiliazione-frontend,total,https-metrics,/kubepods/besteffort/pod5f564b96-dbf5-4f43-b588-a647b47d1c52/5073065c2be82b27ec7aad0094a6c6319334b1e088955f1c39554073b18654a0,registry.vivieb.it/cer-plus/cer-plus-affiliazione-frontend:0.67.0-rc.21,10.0.1.101:10250,kubelet,/metrics/cadvisor,5073065c2be82b27ec7aad0094a6c6319334b1e088955f1c39554073b18654a0,apps,worker-nbg1-2,cer-plus-affiliazione-frontend-app-585cc59fd-jtw98,kube-prometheus-stack-kubelet,2745.719862
container_cpu_usage_seconds_total,cer-plus-member-frontend,total,https-metrics,/kubepods/besteffort/pod898a32be-1ff5-42cb-a089-7902e999fe9e/c284c5b79f6b838cbcf61ccd52315181cb7e354f8ed6a774f763f84c5c258cb7,registry.vivieb.it/cer-plus/cer-plus-member-frontend:0.78.0-rc.245,10.0.1.101:10250,kubelet,/metrics/cadvisor,c284c5b79f6b838cbcf61ccd52315181cb7e354f8ed6a774f763f84c5c258cb7,apps,worker-nbg1-2,cer-plus-member-frontend-app-56ddccc764-p4s8d,kube-prometheus-stack-kubelet,1985.902944
container_cpu_usage_seconds_total,cer-plus-member-frontend,total,https-metrics,/kubepods/besteffort/poda4cae5f5-645e-41e5-bbaf-94906e4be116/849aa6a443973e63671db939cef6e3a6025cd10467915177b1c7ac2262b520c9,registry.vivieb.it/cer-plus/cer-plus-member-frontend:0.78.0-rc.245,10.0.1.100:10250,kubelet,/metrics/cadvisor,849aa6a443973e63671db939cef6e3a6025cd10467915177b1c7ac2262b520c9,apps,worker-nbg1-1,cer-plus-member-frontend-app-56ddccc764-bvkns,kube-prometheus-stack-kubelet,2623.06417
container_cpu_usage_seconds_total,cer-plus-operator-frontend,total,https-metrics,/kubepods/besteffort/pod00e68ea7-9e98-4a23-83e7-097403a96d2b/149be45cebc6fb103f54c8c807543acb6f89b2433f6531bbd783025ecba75736,registry.vivieb.it/cer-plus/cer-plus-operator-frontend:0.93.0-rc.310,10.0.1.100:10250,kubelet,/metrics/cadvisor,149be45cebc6fb103f54c8c807543acb6f89b2433f6531bbd783025ecba75736,apps,worker-nbg1-1,cer-plus-operator-frontend-app-74c48587bb-tpn7x,kube-prometheus-stack-kubelet,2653.573263
container_cpu_usage_seconds_total,cer-plus-operator-frontend,total,https-metrics,/kubepods/besteffort/podf427b53b-723e-4180-91fb-21624d7acd1e/a298f6874a8f1a9a2292ec5664243c6fd2b4ebedaacd85679029011441d43ea3,registry.vivieb.it/cer-plus/cer-plus-operator-frontend:0.93.0-rc.310,10.0.1.101:10250,kubelet,/metrics/cadvisor,a298f6874a8f1a9a2292ec5664243c6fd2b4ebedaacd85679029011441d43ea3,apps,worker-nbg1-2,cer-plus-operator-frontend-app-74c48587bb-5lldp,kube-prometheus-stack-kubelet,2044.629549
container_cpu_usage_seconds_total,cer-plus-schedulers,total,https-metrics,/kubepods/besteffort/pod253e7f96-e258-4d2c-bd33-a0a66743a0ea/0dca8795df6703a01e703fec434c9e5edfbf2b428373881acdabe1cf11c3fde6,registry.vivieb.it/cer-plus/cer-plus-schedulers:0.40.0-rc.175,10.0.1.100:10250,kubelet,/metrics/cadvisor,0dca8795df6703a01e703fec434c9e5edfbf2b428373881acdabe1cf11c3fde6,apps,worker-nbg1-1,cer-plus-schedulers-app-786984d5db-fk8dz,kube-prometheus-stack-kubelet,2751.234864
container_cpu_usage_seconds_total,cer-plus-schedulers,total,https-metrics,/kubepods/besteffort/pod35a1eff0-e088-493c-b009-200816a452c2/12b90100335b1454d40d8f964294df0595d4e4e383ef79d8bc946c8b2b903d76,registry.vivieb.it/cer-plus/cer-plus-schedulers:0.40.0-rc.175,10.0.1.101:10250,kubelet,/metrics/cadvisor,12b90100335b1454d40d8f964294df0595d4e4e383ef79d8bc946c8b2b903d76,apps,worker-nbg1-2,cer-plus-schedulers-app-786984d5db-hqmz4,kube-prometheus-stack-kubelet,2104.995926
container_cpu_usage_seconds_total,cer-plus-service,total,https-metrics,/kubepods/besteffort/pod5f7bc06e-4edf-4972-9020-d0470ca18488/70f1cb4495416e84569aad514fe75e4960cd6929b776cf8d94e29eb6d476daac,registry.vivieb.it/cer-plus/cer-plus-service:0.189.0-rc.852,10.0.1.100:10250,kubelet,/metrics/cadvisor,70f1cb4495416e84569aad514fe75e4960cd6929b776cf8d94e29eb6d476daac,apps,worker-nbg1-1,cer-plus-service-app-fcd4465bd-nfkkh,kube-prometheus-stack-kubelet,2632.24946
container_cpu_usage_seconds_total,cer-plus-service,total,https-metrics,/kubepods/besteffort/pod8ae88416-2d40-4be8-89c1-66a26aca3b63/5718983f2951386c7ece5db59f5f956fb129c74465705896eff2675c68e66372,registry.vivieb.it/cer-plus/cer-plus-service:0.189.0-rc.852,10.0.1.101:10250,kubelet,/metrics/cadvisor,5718983f2951386c7ece5db59f5f956fb129c74465705896eff2675c68e66372,apps,worker-nbg1-2,cer-plus-service-app-fcd4465bd-ztks7,kube-prometheus-stack-kubelet,2011.29022
container_cpu_usage_seconds_total,cert-approver,total,https-metrics,/kubepods/burstable/pod57c42790-9587-4e25-b37d-73aa5d71ea51/61608a91a0819a70caac8e6114d4464240d5ad2859d1aeb0e042e3330a04dd2c,ghcr.io/alex1989hu/kubelet-serving-cert-approver:main,10.0.1.50:10250,kubelet,/metrics/cadvisor,61608a91a0819a70caac8e6114d4464240d5ad2859d1aeb0e042e3330a04dd2c,kubelet-serving-cert-approver,controlplane-nbg1-1,kubelet-serving-cert-approver-7ddfd4469b-9zq6m,kube-prometheus-stack-kubelet,1013.773651
container_cpu_usage_seconds_total,cert-manager-cainjector,total,https-metrics,/kubepods/besteffort/pode8d73c2b-3bbc-4ba8-87ba-86a88dde19f0/f9772ab3713cd8058f73482a48b93004eb25d6119af7de18c1af3e8d86366e90,quay.io/jetstack/cert-manager-cainjector:v1.13.3,10.0.1.101:10250,kubelet,/metrics/cadvisor,f9772ab3713cd8058f73482a48b93004eb25d6119af7de18c1af3e8d86366e90,cert-manager,worker-nbg1-2,cert-manager-cainjector-5c8d6f6646-92txb,kube-prometheus-stack-kubelet,2031.795944
container_cpu_usage_seconds_total,cert-manager-controller,total,https-metrics,/kubepods/besteffort/podee06d271-f11c-453f-9f68-99007c57a7c2/c8e49321a31793dfd046c22255cc239bfc5b52b5215a1dbfabbc98192b554233,quay.io/jetstack/cert-manager-controller:v1.13.3,10.0.1.100:10250,kubelet,/metrics/cadvisor,c8e49321a31793dfd046c22255cc239bfc5b52b5215a1dbfabbc98192b554233,cert-manager,worker-nbg1-1,cert-manager-8db45d64b-jxlrs,kube-prometheus-stack-kubelet,1905.838414
container_cpu_usage_seconds_total,cert-manager-webhook,total,https-metrics,/kubepods/besteffort/pod2b81580c-f4d2-4c14-8ab0-01eec7395426/80a78d68e598afa1dedde12a8867c3a0f1d028d2daa6d2793a56b18dcbc598ff,quay.io/jetstack/cert-manager-webhook:v1.13.3,10.0.1.101:10250,kubelet,/metrics/cadvisor,80a78d68e598afa1dedde12a8867c3a0f1d028d2daa6d2793a56b18dcbc598ff,cert-manager,worker-nbg1-2,cert-manager-webhook-7c7d969c76-czltk,kube-prometheus-stack-kubelet,900.361108
container_cpu_usage_seconds_total,config-reloader,total,https-metrics,/kubepods/burstable/pod4ecea42c-e6fc-4196-9f5e-08c3998678fc/3434c888f38a08480df820e4dbf7c0380cadfa7a7dbbdb9839b44fb69c4ce0e0,quay.io/prometheus-operator/prometheus-config-reloader:v0.65.1,10.0.1.100:10250,kubelet,/metrics/cadvisor,3434c888f38a08480df820e4dbf7c0380cadfa7a7dbbdb9839b44fb69c4ce0e0,monitoring,worker-nbg1-1,prometheus-kube-prometheus-stack-prometheus-0,kube-prometheus-stack-kubelet,82.978371
container_cpu_usage_seconds_total,config-reloader,total,https-metrics,/kubepods/burstable/pod9dd17ead-ce23-4b4f-9cd9-98f77a88a26a/5912ec28135b6e5927071f2c74070785df08a496fbd8695d2ef256e1585868c1,ghcr.io/kube-logging/config-reloader:v0.0.5,10.0.1.101:10250,kubelet,/metrics/cadvisor,5912ec28135b6e5927071f2c74070785df08a496fbd8695d2ef256e1585868c1,logging,worker-nbg1-2,apps-logging-fluentd-0,kube-prometheus-stack-kubelet,1.93783
container_cpu_usage_seconds_total,config-reloader,total,https-metrics,/kubepods/burstable/poda6a84786-e6c1-4664-bc88-d47352abaf94/25ccb8687135a40b5f5115be32016d7483b00ba016fab53441245f7695596d4c,quay.io/prometheus-operator/prometheus-config-reloader:v0.65.1,10.0.1.100:10250,kubelet,/metrics/cadvisor,25ccb8687135a40b5f5115be32016d7483b00ba016fab53441245f7695596d4c,monitoring,worker-nbg1-1,alertmanager-kube-prometheus-stack-alertmanager-0,kube-prometheus-stack-kubelet,28.057065
container_cpu_usage_seconds_total,controller,total,https-metrics,/kubepods/besteffort/pod8cbb9fb6-d8d9-4716-85b6-a02bb0e2b9d7/8a49023e8f28fd2fc17bec8b55a15ee8451263a49e79290ec9e0fdb34ad8e0d5,docker.io/bitnami/sealed-secrets-controller:v0.20.5,10.0.1.50:10250,kubelet,/metrics/cadvisor,8a49023e8f28fd2fc17bec8b55a15ee8451263a49e79290ec9e0fdb34ad8e0d5,sealed-secrets,controlplane-nbg1-1,sealed-secrets-668676cb45-bvsdv,kube-prometheus-stack-kubelet,478.48921
