__name__,container,endpoint,instance,job,namespace,node,pod,resource,service,uid,unit,value
kube_pod_container_resource_limits,cert-approver,http,10.244.1.67:8080,kube-state-metrics,kubelet-serving-cert-approver,controlplane-nbg1-1,kubelet-serving-cert-approver-7ddfd4469b-9zq6m,cpu,kube-prometheus-stack-kube-state-metrics,57c42790-9587-4e25-b37d-73aa5d71ea51,core,0.25
kube_pod_container_resource_limits,cert-approver,http,10.244.1.67:8080,kube-state-metrics,kubelet-serving-cert-approver,controlplane-nbg1-1,kubelet-serving-cert-approver-7ddfd4469b-9zq6m,memory,kube-prometheus-stack-kube-state-metrics,57c42790-9587-4e25-b37d-73aa5d71ea51,byte,33554432
kube_pod_container_resource_limits,config-reloader,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-1,alertmanager-kube-prometheus-stack-alertmanager-0,cpu,kube-prometheus-stack-kube-state-metrics,a6a84786-e6c1-4664-bc88-d47352abaf94,core,0.2
kube_pod_container_resource_limits,config-reloader,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-1,alertmanager-kube-prometheus-stack-alertmanager-0,memory,kube-prometheus-stack-kube-state-metrics,a6a84786-e6c1-4664-bc88-d47352abaf94,byte,52428800
kube_pod_container_resource_limits,config-reloader,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-1,prometheus-kube-prometheus-stack-prometheus-0,cpu,kube-prometheus-stack-kube-state-metrics,4ecea42c-e6fc-4196-9f5e-08c3998678fc,core,0.2
kube_pod_container_resource_limits,config-reloader,http,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-1,prometheus-kube-prometheus-stack-prometheus-0,memory,kube-prometheus-stack-kube-state-metrics,4ecea42c-e6fc-4196-9f5e-08c3998678fc,byte,52428800
kube_pod_container_resource_limits,coredns,http,10.244.1.67:8080,kube-state-metrics,kube-system,controlplane-nbg1-1,coredns-d779cc7ff-rb4kt,memory,kube-prometheus-stack-kube-state-metrics,1e6e2c59-172e-4b2f-9211-de5bb60eccdf,byte,178257920
kube_pod_container_resource_limits,coredns,http,10.244.1.67:8080,kube-state-metrics,kube-system,controlplane-nbg1-1,coredns-d779cc7ff-spxvm,memory,kube-prometheus-stack-kube-state-metrics,83c4c2b1-4c90-4c02-a7fa-6a223c9f097c,byte,178257920
kube_pod_container_resource_limits,elasticsearch,http,10.244.1.67:8080,kube-state-metrics,elastic,worker-nbg1-2,elasticsearch-es-master-0,cpu,kube-prometheus-stack-kube-state-metrics,dec1c9da-b661-4ced-85ca-f8582b14edd4,core,2
kube_pod_container_resource_limits,elasticsearch,http,10.244.1.67:8080,kube-state-metrics,elastic,worker-nbg1-2,elasticsearch-es-master-0,memory,kube-prometheus-stack-kube-state-metrics,dec1c9da-b661-4ced-85ca-f8582b14edd4,byte,2147483648
