__name__,container,cpu,endpoint,id,image,instance,job,metrics_path,name,namespace,node,pod,service,value,cpu_cores,boot_id,system_uuid,machine_id,node_label,ephemeral_storage_resource,ephemeral_storage_unit,ephemeral_storage_node_status_allocatable,ephemeral_storage_node_status_capacity,pods_resource,pods_unit,pods_node_status_allocatable,pods_node_status_capacity,cpu_resource,cpu_unit,cpu_node_status_allocatable,cpu_node_status_capacity,hugepages_2Mi_resource,hugepages_2Mi_unit,hugepages_2Mi_node_status_allocatable,hugepages_2Mi_node_status_capacity,memory_resource,memory_unit,memory_node_status_allocatable,memory_node_status_capacity,cpu_pod_container_resource,cpu_pod_container_resource_uid,cpu_pod_container_resource_unit,cpu_pod_container_resource_limit,cpu_pod_container_resource_requests,memory_pod_container_resource,memory_pod_container_resource_uid,memory_pod_container_resource_unit,memory_pod_container_resource_limit,memory_pod_container_resource_requests,pod_info,pod_created_by_kind,pod_created_by_name,host_ip,host_network,pod_ip,pod_priority_class,memory_usage,cpu_usage,power_consumed,memory_percentage
container_cpu_usage_seconds_total,,total,https-metrics,/kubepods/besteffort/poda7286306-6f55-4050-aa88-885e39eb028b,,10.0.1.101:10250,kubelet,/metrics/cadvisor,,apps,worker-nbg1-2,netido-internationalization-service-app-6644cc7bf7-hmggf,kube-prometheus-stack-kubelet,11003.339762,8.0,f9e257a0-3003-4f24-b8f6-3d22f6f0c3b7,5b95ce79-e68b-4d86-b40d-0ac8553b68c5,f85a94d23478b7ef7bd6171fa2c692fc,1.0,ephemeral_storage,byte,219672827131.0,244379181056.0,pods,integer,110.0,110.0,cpu,core,7.95,8.0,hugepages_2Mi,byte,0.0,0.0,memory,byte,16043679744.0,16349863936.0,,,,,,,,,,,1,ReplicaSet,netido-internationalization-service-app-6644cc7bf7,10.0.1.101,False,10.244.0.115,,,11003.339762,,
container_cpu_usage_seconds_total,,total,https-metrics,/kubepods/besteffort/poda7286306-6f55-4050-aa88-885e39eb028b/cef5b8076c12e58850d959e08ee30db6aa00d2db30252a8b2cf75e26895723f6,registry.k8s.io/pause:3.6,10.0.1.101:10250,kubelet,/metrics/cadvisor,cef5b8076c12e58850d959e08ee30db6aa00d2db30252a8b2cf75e26895723f6,apps,worker-nbg1-2,netido-internationalization-service-app-6644cc7bf7-hmggf,kube-prometheus-stack-kubelet,0.040286,8.0,f9e257a0-3003-4f24-b8f6-3d22f6f0c3b7,5b95ce79-e68b-4d86-b40d-0ac8553b68c5,f85a94d23478b7ef7bd6171fa2c692fc,1.0,ephemeral_storage,byte,219672827131.0,244379181056.0,pods,integer,110.0,110.0,cpu,core,7.95,8.0,hugepages_2Mi,byte,0.0,0.0,memory,byte,16043679744.0,16349863936.0,,,,,,,,,,,1,ReplicaSet,netido-internationalization-service-app-6644cc7bf7,10.0.1.101,False,10.244.0.115,,,0.040286,,
container_cpu_usage_seconds_total,,total,https-metrics,/kubepods/besteffort/poda781cec7-8233-4632-94c3-f7eaf3b6e5b6,,10.0.1.101:10250,kubelet,/metrics/cadvisor,,monitoring,worker-nbg1-2,kube-prometheus-stack-prometheus-node-exporter-5xnll,kube-prometheus-stack-kubelet,14174.04619,8.0,f9e257a0-3003-4f24-b8f6-3d22f6f0c3b7,5b95ce79-e68b-4d86-b40d-0ac8553b68c5,f85a94d23478b7ef7bd6171fa2c692fc,1.0,ephemeral_storage,byte,219672827131.0,244379181056.0,pods,integer,110.0,110.0,cpu,core,7.95,8.0,hugepages_2Mi,byte,0.0,0.0,memory,byte,16043679744.0,16349863936.0,,,,,,,,,,,1,DaemonSet,kube-prometheus-stack-prometheus-node-exporter,10.0.1.101,True,10.0.1.101,,,14174.04619,,
container_cpu_usage_seconds_total,,total,https-metrics,/kubepods/besteffort/poda781cec7-8233-4632-94c3-f7eaf3b6e5b6/2197c1247ce07212b9ab7061852638d1caa0539791bc1acacf7e878623490785,registry.k8s.io/pause:3.6,10.0.1.101:10250,kubelet,/metrics/cadvisor,2197c1247ce07212b9ab7061852638d1caa0539791bc1acacf7e878623490785,monitoring,worker-nbg1-2,kube-prometheus-stack-prometheus-node-exporter-5xnll,kube-prometheus-stack-kubelet,0.032634,8.0,f9e257a0-3003-4f24-b8f6-3d22f6f0c3b7,5b95ce79-e68b-4d86-b40d-0ac8553b68c5,f85a94d23478b7ef7bd6171fa2c692fc,1.0,ephemeral_storage,byte,219672827131.0,244379181056.0,pods,integer,110.0,110.0,cpu,core,7.95,8.0,hugepages_2Mi,byte,0.0,0.0,memory,byte,16043679744.0,16349863936.0,,,,,,,,,,,1,DaemonSet,kube-prometheus-stack-prometheus-node-exporter,10.0.1.101,True,10.0.1.101,,,0.032634,,
container_cpu_usage_seconds_total,,total,https-metrics,/kubepods/besteffort/poda8805515-7c88-4125-9205-095c9bba84a5,,10.0.1.50:10250,kubelet,/metrics/cadvisor,,kube-system,controlplane-nbg1-1,hcloud-csi-controller-76b94f8979-mn6jt,kube-prometheus-stack-kubelet,5460.889886,4.0,49ee2002-ae3b-45d3-90a2-bb2ee54ef03c,b00f9cd3-c12d-40fb-80a6-a236a8911d9a,03b36650b1cc4dc8d1e4eb5b1d105bcd,1.0,ephemeral_storage,byte,145981768667.0,162500227072.0,pods,integer,110.0,110.0,cpu,core,3.95,4.0,hugepages_2Mi,byte,0.0,0.0,memory,byte,7798587392.0,8104771584.0,,,,,,,,,,,1,ReplicaSet,hcloud-csi-controller-76b94f8979,10.0.1.50,False,10.244.1.110,,,5460.889886,,
container_cpu_usage_seconds_total,,total,https-metrics,/kubepods/besteffort/poda8805515-7c88-4125-9205-095c9bba84a5/ecaed18ff682601770ab620cd1c0e3d22398c5fd9c4483571e99857abf4b0f50,registry.k8s.io/pause:3.6,10.0.1.50:10250,kubelet,/metrics/cadvisor,ecaed18ff682601770ab620cd1c0e3d22398c5fd9c4483571e99857abf4b0f50,kube-system,controlplane-nbg1-1,hcloud-csi-controller-76b94f8979-mn6jt,kube-prometheus-stack-kubelet,0.035522,4.0,49ee2002-ae3b-45d3-90a2-bb2ee54ef03c,b00f9cd3-c12d-40fb-80a6-a236a8911d9a,03b36650b1cc4dc8d1e4eb5b1d105bcd,1.0,ephemeral_storage,byte,145981768667.0,162500227072.0,pods,integer,110.0,110.0,cpu,core,3.95,4.0,hugepages_2Mi,byte,0.0,0.0,memory,byte,7798587392.0,8104771584.0,,,,,,,,,,,1,ReplicaSet,hcloud-csi-controller-76b94f8979,10.0.1.50,False,10.244.1.110,,,0.035522,,
container_cpu_usage_seconds_total,,total,https-metrics,/kubepods/besteffort/poda8f1a004-40a9-42f5-9206-9169f0b5a1cd,,10.0.1.100:10250,kubelet,/metrics/cadvisor,,apps,worker-nbg1-1,netido-gql-registry-app-6c9d666cd7-bjhpb,kube-prometheus-stack-kubelet,11170.412458,8.0,390ee91c-5fbe-47bc-930b-72d7b620295f,cb080a81-8efa-4fc9-9113-55bcbd57dbb1,6411893851f6a30e041709ecf4537e3a,1.0,ephemeral_storage,byte,219672827131.0,244379181056.0,pods,integer,110.0,110.0,cpu,core,7.95,8.0,hugepages_2Mi,byte,0.0,0.0,memory,byte,16043671552.0,16349855744.0,,,,,,,,,,,1,ReplicaSet,netido-gql-registry-app-6c9d666cd7,10.0.1.100,False,10.244.2.77,,,11170.412458,,
container_cpu_usage_seconds_total,,total,https-metrics,/kubepods/besteffort/poda8f1a004-40a9-42f5-9206-9169f0b5a1cd/fcf6dffe916a39c97ffbe73df925bd5f07e804788eda504a7e67707f8ef78e2d,registry.k8s.io/pause:3.6,10.0.1.100:10250,kubelet,/metrics/cadvisor,fcf6dffe916a39c97ffbe73df925bd5f07e804788eda504a7e67707f8ef78e2d,apps,worker-nbg1-1,netido-gql-registry-app-6c9d666cd7-bjhpb,kube-prometheus-stack-kubelet,0.069043,8.0,390ee91c-5fbe-47bc-930b-72d7b620295f,cb080a81-8efa-4fc9-9113-55bcbd57dbb1,6411893851f6a30e041709ecf4537e3a,1.0,ephemeral_storage,byte,219672827131.0,244379181056.0,pods,integer,110.0,110.0,cpu,core,7.95,8.0,hugepages_2Mi,byte,0.0,0.0,memory,byte,16043671552.0,16349855744.0,,,,,,,,,,,1,ReplicaSet,netido-gql-registry-app-6c9d666cd7,10.0.1.100,False,10.244.2.77,,,0.069043,,
container_cpu_usage_seconds_total,,total,https-metrics,/kubepods/besteffort/podb9ec7291-054f-4141-9128-ff82f818570a,,10.0.1.101:10250,kubelet,/metrics/cadvisor,,apps,worker-nbg1-2,netido-gql-gateway-app-875576655-t7nvg,kube-prometheus-stack-kubelet,98626.374511,8.0,f9e257a0-3003-4f24-b8f6-3d22f6f0c3b7,5b95ce79-e68b-4d86-b40d-0ac8553b68c5,f85a94d23478b7ef7bd6171fa2c692fc,1.0,ephemeral_storage,byte,219672827131.0,244379181056.0,pods,integer,110.0,110.0,cpu,core,7.95,8.0,hugepages_2Mi,byte,0.0,0.0,memory,byte,16043679744.0,16349863936.0,,,,,,,,,,,1,ReplicaSet,netido-gql-gateway-app-875576655,10.0.1.101,False,10.244.0.130,,,98626.374511,,
container_cpu_usage_seconds_total,,total,https-metrics,/kubepods/besteffort/podb9ec7291-054f-4141-9128-ff82f818570a/31cd1c9783908c8efd05aba0dbbae3c022b6e7d7277ae2d294f737cd347b66ff,registry.k8s.io/pause:3.6,10.0.1.101:10250,kubelet,/metrics/cadvisor,31cd1c9783908c8efd05aba0dbbae3c022b6e7d7277ae2d294f737cd347b66ff,apps,worker-nbg1-2,netido-gql-gateway-app-875576655-t7nvg,kube-prometheus-stack-kubelet,0.032402,8.0,f9e257a0-3003-4f24-b8f6-3d22f6f0c3b7,5b95ce79-e68b-4d86-b40d-0ac8553b68c5,f85a94d23478b7ef7bd6171fa2c692fc,1.0,ephemeral_storage,byte,219672827131.0,244379181056.0,pods,integer,110.0,110.0,cpu,core,7.95,8.0,hugepages_2Mi,byte,0.0,0.0,memory,byte,16043679744.0,16349863936.0,,,,,,,,,,,1,ReplicaSet,netido-gql-gateway-app-875576655,10.0.1.101,False,10.244.0.130,,,0.032402,,
